                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.3665,                0.83013,                 1.1675,                0.80947,                  0.626,                0.73647,                0.46802,                 1.2835,                0.74033,                 1.1531,              0.0082378,              0.0082378,              0.0082378
                     91,                  1.365,                0.83065,                 1.1655,                0.81525,                0.62316,                0.73636,                0.46766,                 1.2841,                0.74019,                 1.1531,               0.008218,               0.008218,               0.008218
                     92,                 1.3632,                0.82845,                 1.1664,                0.81689,                 0.6215,                0.73635,                 0.4676,                 1.2847,                 0.7404,                 1.1533,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.3612,                 0.8251,                 1.1638,                0.81286,                0.62337,                0.73609,                0.46771,                 1.2852,                0.74012,                 1.1528,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.3591,                0.82707,                 1.1655,                0.81139,                0.62485,                0.73675,                0.46781,                 1.2852,                0.73963,                  1.153,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.3627,                0.82903,                 1.1646,                0.81285,                0.62467,                0.73729,                0.46762,                 1.2856,                0.73951,                 1.1535,              0.0081388,              0.0081388,              0.0081388
                     96,                  1.362,                0.82557,                 1.1643,                0.81582,                 0.6252,                0.73784,                 0.4679,                  1.285,                0.73917,                 1.1531,               0.008119,               0.008119,               0.008119
                     97,                 1.3566,                0.82436,                 1.1628,                0.81525,                0.62428,                0.73828,                0.46771,                 1.2853,                 0.7391,                 1.1533,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.3612,                0.82552,                 1.1629,                0.81728,                0.62376,                0.73833,                 0.4676,                 1.2858,                0.73845,                 1.1536,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.3581,                0.82249,                 1.1604,                0.81918,                0.62372,                0.73825,                0.46787,                 1.2865,                0.73823,                 1.1538,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.3583,                0.82295,                 1.1626,                0.81835,                0.62281,                0.73801,                 0.4679,                 1.2865,                0.73795,                 1.1536,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.3571,                0.82301,                 1.1608,                0.81183,                0.62622,                0.73785,                0.46806,                 1.2866,                0.73723,                 1.1534,                0.00802,                0.00802,                0.00802
